date,price_usd,raw_date_label,title
2025-04-16,454900,Apr 16th,2021 Ferrari SF90 Stradale Standard
2025-05-02,434900,May 2nd,2021 Ferrari SF90 Stradale Standard
2025-08-14,619000,Aug 14th,2024 Ferrari SF90 Spider
2025-08-14,689999,Aug 14th,2024 Ferrari SF90 Spider Spider
2025-08-18,669000,30 days ago,2024 Ferrari SF90 Spider
2025-08-21,669995,27 days ago,2024 Ferrari SF90 Spider
2025-08-22,474000,26 days ago,2021 Ferrari SF90 Stradale
2025-08-22,549000,26 days ago,2022 Ferrari SF90 Stradale
2025-08-24,499995,24 days ago,2023 Ferrari SF90 Stradale
2025-08-29,493888,19 days ago,2023 Ferrari SF90 Stradale
2025-09-05,704999,12 days ago,2024 Ferrari SF90 Spider
2025-09-05,699000,12 days ago,2022 Ferrari SF90 Spider
2025-09-05,529000,12 days ago,2022 Ferrari SF90 Stradale
2025-09-05,619000,12 days ago,2023 Ferrari SF90 Stradale
2025-09-09,529000,8 days ago,2022 Ferrari SF90 Stradale
2025-09-10,649000,7 days ago,2021 Ferrari SF90 Stradale
2025-09-10,769000,7 days ago,2024 Ferrari SF90 Spider
2025-09-11,669900,6 days ago,2024 Ferrari SF90 Spider
2025-09-12,434950,5 days ago,2022 Ferrari SF90 Stradale
2025-09-13,589900,4 days ago,2023 Ferrari SF90 Spider
2025-09-15,888000,2 days ago,2023 Ferrari SF90 Spider
2025-09-15,799000,2 days ago,2023 Ferrari SF90 Spider
2025-09-15,489999,2 days ago,2022 Ferrari SF90 Stradale
2025-09-15,459995,2 days ago,2021 Ferrari Sf 90 Stradale
2025-09-15,669900,2 days ago,2024 Ferrari SF90 Spider
2025-09-17,644000,Today,2023 Ferrari SF90 Spider
